	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_P_T2_sh_L_ND_A_01.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_P_T2_sh_L_ND_A_02.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_P_T2_sh_L_ND_A_03.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_P_T2_sh_L_ND_A_04.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_P_T2_sh_L_ND_A_05.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_P_T2_sh_L_ND_A_06.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_MISSING	124_MISSING	124_MISSING	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d	124_P_T2_sh_L_ND_A_07.c3d
	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z	ankle_mom_X	ankle_mom_Y	ankle_mom_Z	foot_X	foot_Y	foot_Z	hip_mom_X	hip_mom_Y	hip_mom_Z	hip_X	hip_Y	hip_Z	knee_mom_X	knee_mom_Y	knee_mom_Z	knee_X	knee_Y	knee_Z	pelvis_X	pelvis_Y	pelvis_Z	thorax_X	thorax_Y	thorax_Z
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	lat	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med	med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1				6.736734	9.189899	19.057043				44.226322	-6.107656	4.833983				40.766094	0.122141	-4.723440	17.372009	0.882729	-29.369963	7.407098	-2.980516	-4.103396				0.384534	-1.915286	19.090828				32.339684	0.336917	-6.819958				34.140629	-0.280288	2.158222	17.811193	-10.866818	-16.125832	4.430536	-0.262092	-9.552335				4.297711	7.236307	15.903657				46.601120	-5.831367	7.108786				39.779858	-1.041458	-3.763851	18.612398	2.564309	-29.272968	4.567259	-5.368026	-5.548856				5.005115	-3.350392	17.813908				31.913597	1.049611	-5.082604				36.430637	1.269535	-2.391500	15.041208	-11.908416	-6.310267	2.109734	0.972683	-10.162083				5.941790	14.121251	18.294987				47.095745	-8.399198	9.912175				40.407234	-1.395002	0.856020	17.379168	1.693306	-30.358137	7.539016	-5.745461	1.204448				14.103515	-5.781266	12.586760				35.767567	1.996127	-4.889741				42.145588	0.833048	1.331099	16.489786	-10.413234	-5.030566	2.421042	3.294572	-13.241236				1.178859	9.418831	14.229419				49.230179	-5.096465	10.803751				39.817421	-1.319001	-0.967080	18.320198	3.048468	-33.485008	8.349996	-6.919202	0.777906				11.846157	-2.842646	16.296278				39.137596	0.593248	-0.041204				41.985245	-1.102988	1.242944	20.724449	-15.216493	-9.631299	2.811101	1.346027	-9.113154				4.764427	13.194160	18.403448				47.236794	-9.194148	6.798208				36.668198	-1.392460	-3.487875	20.060978	3.018161	-29.616009	5.642405	-5.657648	0.128163				11.850627	1.144371	10.877731				33.075649	5.523214	-5.281437				41.713898	8.428305	2.100510	14.599472	-4.579061	-11.096711	7.684738	0.896190	-3.271658				2.195727	12.804716	18.834986				44.918449	-7.193922	8.808935				33.945717	-2.791120	-0.142080	16.695770	1.332079	-30.989056	8.866387	-7.975997	1.256496				10.239325	-4.702010	15.144395				37.650265	4.481202	-1.607758				46.757633	-0.663490	2.059396	18.506016	-9.973822	-11.194292	0.261038	0.057022	-5.462827				4.849213	12.815746	19.114874				44.362175	-9.496053	7.586726				35.436363	-5.036407	-0.075467	17.087196	-0.086165	-30.461458	6.324867	-9.153250	0.339993				12.689301	0.711610	12.782638				34.986668	2.127318	-8.935925				47.157162	4.724782	5.420420	14.590899	-5.620508	-14.987436	6.781570	-4.093655	-3.092037
2				6.974314	9.586914	19.314629				44.232292	-6.165350	4.951149				40.693336	0.157673	-4.495650	17.473677	0.930544	-29.392778	7.256743	-3.068856	-4.064233				0.781320	-2.738237	19.337990				32.216484	0.364310	-6.679219				33.816742	-0.409559	1.885744	17.899023	-11.058256	-16.034746	4.294652	-0.139305	-9.671199				4.369453	7.904988	16.151955				46.526119	-5.862365	7.285139				39.613560	-1.035783	-3.484954	18.611900	2.628108	-29.307690	4.543910	-5.459988	-5.534102				5.279718	-4.012102	17.887951				31.796185	1.021425	-4.899841				36.125053	1.309383	-2.623492	15.078260	-12.050306	-6.144419	2.016097	0.999247	-10.205414				6.339698	14.361736	18.333447				47.055370	-8.454756	10.038335				40.402920	-1.278201	1.054287	17.404566	1.747005	-30.323729	7.485063	-5.817795	1.147371				14.666035	-6.362086	12.549500				35.737247	2.010159	-4.815267				41.855438	0.781253	1.114861	16.605444	-10.517415	-4.796878	2.228144	3.337353	-13.375102				1.462981	9.837342	14.380732				49.140556	-5.053219	10.870237				39.831379	-1.307798	-0.940644	18.287970	3.117016	-33.506798	8.348825	-6.977068	0.745710				12.756173	-3.897346	15.973477				38.932838	0.533135	0.208033				41.681843	-1.347259	1.678629	20.736662	-15.429152	-9.351498	2.708948	1.328135	-9.154230				4.942506	13.649896	18.529739				47.198982	-9.237573	7.034825				36.572807	-1.358477	-3.176342	20.097626	3.064389	-29.637051	5.570753	-5.730733	0.117963				12.078053	0.016104	10.873781				32.979687	5.787157	-5.409719				41.041035	8.067302	2.026462	14.769145	-4.642478	-11.014254	7.502913	0.963951	-3.284578				2.436387	13.143422	18.982748				44.911594	-7.308723	8.983407				33.935757	-2.688932	0.040573	16.723864	1.346669	-30.969444	8.799297	-8.029444	1.196222				10.628828	-5.343396	15.431246				37.396088	4.576674	-1.622193				46.063988	-0.943396	1.923853	18.562136	-10.082676	-11.036466	0.155178	0.098764	-5.541329				5.035815	13.251561	19.224243				44.318859	-9.581676	7.721643				35.313145	-5.004078	0.194104	17.125521	-0.065921	-30.409716	6.245268	-9.213717	0.323471				13.076159	-0.286892	12.636787				34.773098	2.317218	-9.021158				46.554611	4.400748	5.559164	14.637472	-5.688478	-14.913837	6.685904	-4.046856	-3.121709
