	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_01.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_02.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_03.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_04.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_05.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_06.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_07.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_08.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_09.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d	235_C_T1_sh_L_ND_10.c3d
7	0.082282	0.192485	0.760830	0.102768	0.723918	0.515388	0.489298	0.239250	0.105351	0.113731	0.662156	0.140735	0.584580	0.610109	0.660798	0.478142	0.063291	0.199445	0.565698	0.198918	0.094505	0.085330	0.563110	0.200389	0.168963	0.222705	0.652449	0.530637	0.135432	0.250287	0.582489	0.542517	0.164324	0.164593	0.781365	0.267654	0.112542	0.157046	0.509220	0.061487	0.197315	0.223902	0.791192	0.322225	0.142038	0.267099	0.776439	0.617739	0.329808	0.304081	0.798053	0.132146	0.159297	0.192345	0.624749	0.500993	0.081246	0.120229	0.513817	0.330436	0.160759	0.323704	0.644108	0.199587	0.154631	0.247174	0.668052	0.326931	0.206330	0.352979	0.526296	0.368507	0.175601	0.233504	0.599628	0.207470	0.060668	0.108813	0.571210	0.143129
8	0.081038	0.123744	0.623283	0.113907	0.669659	0.499265	0.420690	0.241418	0.110490	0.133198	0.676697	0.155244	0.684314	0.661049	0.686637	0.469611	0.055450	0.212515	0.565231	0.280321	0.095596	0.091980	0.542847	0.208992	0.160836	0.178778	0.710169	0.582204	0.142626	0.205868	0.684050	0.558759	0.175360	0.164914	0.714476	0.274661	0.109913	0.163641	0.635915	0.058440	0.149619	0.200196	0.769791	0.277376	0.110450	0.179117	0.818781	0.610986	0.310435	0.309123	0.820738	0.177390	0.153515	0.205634	0.633232	0.505701	0.085174	0.130787	0.502736	0.322721	0.161502	0.322016	0.633990	0.200686	0.152310	0.247160	0.583237	0.255382	0.164080	0.431781	0.534735	0.349204	0.164268	0.207426	0.606400	0.207277	0.092889	0.134842	0.617182	0.178270
9	0.090949	0.069191	0.532895	0.111743	0.636138	0.503694	0.470712	0.242944	0.113803	0.130123	0.701835	0.171618	0.750582	0.673867	0.682312	0.436843	0.061601	0.204880	0.484160	0.273071	0.096507	0.086537	0.537150	0.215050	0.153136	0.141015	0.696579	0.622410	0.133586	0.122813	0.707129	0.557757	0.170650	0.191036	0.919952	0.304474	0.120061	0.213237	0.613697	0.070183	0.114899	0.153496	0.758036	0.245222	0.119102	0.196715	0.750183	0.604131	0.282081	0.282622	0.706295	0.190648	0.151634	0.207046	0.665538	0.506794	0.093801	0.129771	0.535276	0.288957	0.163157	0.322640	0.595719	0.212944	0.158993	0.252684	0.603682	0.228694	0.154195	0.450896	0.460702	0.302068	0.148029	0.153620	0.664656	0.210212	0.111328	0.164457	0.603704	0.233632
10	0.087576	0.048640	0.507646	0.117233	0.622405	0.491783	0.616641	0.241849	0.111477	0.127736	0.683016	0.175059	0.768751	0.658345	0.654236	0.442282	0.096508	0.174509	0.503453	0.274786	0.097642	0.126640	0.586297	0.201841	0.151684	0.183109	0.742097	0.479286	0.131104	0.138588	0.684398	0.542880	0.145297	0.189943	0.929644	0.284937	0.125135	0.237983	0.593269	0.070227	0.116575	0.192817	0.722510	0.243680	0.121806	0.189563	0.773856	0.585027	0.180352	0.178481	0.761218	0.184408	0.152710	0.192270	0.681447	0.507956	0.088855	0.125922	0.537232	0.210316	0.159697	0.319163	0.642966	0.280291	0.199971	0.310283	0.587370	0.223195	0.192697	0.552006	0.537219	0.253422	0.136903	0.146632	0.654154	0.215874	0.126020	0.170178	0.613364	0.236081
11	0.087361	0.044948	0.455905	0.123789	0.614067	0.326425	0.600370	0.242133	0.110614	0.118427	0.664214	0.170178	0.772740	0.550768	0.623149	0.445769	0.108791	0.137194	0.672894	0.277220	0.090709	0.210967	0.601105	0.182582	0.147221	0.246633	0.747783	0.629532	0.131181	0.167544	0.677773	0.527646	0.137865	0.246809	0.915653	0.226021	0.126977	0.240390	0.590080	0.077078	0.111785	0.197755	0.723399	0.248037	0.120820	0.183997	0.795759	0.563862	0.151639	0.160536	0.719646	0.260482	0.150109	0.186088	0.684253	0.506347	0.090126	0.124498	0.493748	0.150462	0.160952	0.320251	0.660078	0.467906	0.209129	0.326004	0.601617	0.172497	0.210300	0.607229	0.535392	0.215277	0.096379	0.112153	0.612130	0.218317	0.149968	0.183945	0.600076	0.219329
12	0.086657	0.039742	0.636921	0.147960	0.570681	0.312954	0.593788	0.225063	0.093020	0.118452	0.606764	0.174685	0.760266	0.531654	0.634989	0.431999	0.107483	0.139333	0.652042	0.285748	0.081892	0.216663	0.667769	0.175969	0.148201	0.281790	0.653160	0.799524	0.117805	0.179706	0.674765	0.513769	0.148733	0.245800	0.903451	0.249247	0.127443	0.240425	0.607696	0.079965	0.112431	0.197143	0.664441	0.238752	0.104174	0.149571	0.806752	0.521989	0.145250	0.139234	0.694204	0.361021	0.147777	0.179065	0.642426	0.495151	0.105392	0.124568	0.509554	0.115097	0.163290	0.316741	0.665307	0.573558	0.207864	0.324862	0.601153	0.127471	0.259110	0.609657	0.505629	0.174028	0.069001	0.102834	0.623990	0.218171	0.157639	0.197055	0.698826	0.230724
13	0.083648	0.047122	0.667436	0.161147	0.492684	0.315538	0.604115	0.185684	0.098596	0.133501	0.579018	0.167591	0.748154	0.502405	0.627980	0.357989	0.184126	0.181209	0.666118	0.205993	0.082605	0.227242	0.735512	0.161014	0.155698	0.292961	0.585822	0.790745	0.106724	0.176654	0.669282	0.490850	0.152456	0.236610	0.938589	0.258879	0.135176	0.236226	0.678689	0.080190	0.111659	0.197018	0.639845	0.240175	0.085726	0.138804	0.713521	0.439703	0.166562	0.168046	0.653832	0.398777	0.137075	0.182165	0.486472	0.451933	0.115873	0.124958	0.555820	0.122648	0.150234	0.307224	0.668173	0.581867	0.180796	0.285428	0.622270	0.126880	0.260909	0.609862	0.514529	0.158273	0.070049	0.104943	0.670483	0.219004	0.156794	0.199274	0.726884	0.240087
14	0.114597	0.082523	0.662714	0.178396	0.255654	0.296240	0.630102	0.198158	0.092625	0.125813	0.587472	0.181381	0.713001	0.402349	0.621948	0.289942	0.349877	0.292411	0.722787	0.175940	0.082435	0.240358	0.759098	0.299397	0.163499	0.302925	0.595782	0.779486	0.107165	0.175185	0.667225	0.474017	0.170490	0.280038	0.773721	0.298687	0.136557	0.248500	0.674305	0.079994	0.121454	0.198899	0.638199	0.248570	0.078039	0.141578	0.747506	0.748325	0.165165	0.161030	0.656690	0.431299	0.142078	0.172367	0.553669	0.367581	0.112837	0.117898	0.530117	0.202604	0.130372	0.247754	0.671602	0.593447	0.162400	0.235865	0.644944	0.160584	0.262891	0.607006	0.519108	0.191137	0.076733	0.118919	0.616761	0.215982	0.156801	0.200573	0.632649	0.243682
15	0.140244	0.085588	0.724599	0.175326	0.154046	0.224692	0.648915	0.275918	0.081317	0.134169	0.617396	0.180005	0.633690	0.352511	0.639679	0.246277	0.601976	0.375102	0.711913	0.184764	0.087565	0.246964	0.751201	0.640016	0.197068	0.347996	0.562235	0.776350	0.105763	0.175333	0.598030	0.694908	0.204903	0.261866	0.736734	0.309631	0.146838	0.263431	0.713687	0.080501	0.119434	0.201246	0.653714	0.227740	0.081808	0.140627	0.761291	0.972329	0.186826	0.166590	0.637453	0.479872	0.118966	0.140782	0.718620	0.521156	0.112475	0.125355	0.527654	0.313984	0.116162	0.211963	0.682458	0.646009	0.165158	0.251808	0.617347	0.253908	0.260490	0.595693	0.596662	0.396339	0.078424	0.125400	0.624054	0.162603	0.156021	0.205605	0.641394	0.243716
16	0.181350	0.130406	0.737246	0.176900	0.114204	0.226859	0.676870	0.452982	0.111305	0.167162	0.590186	0.156387	0.590208	0.367866	0.626258	0.499131	0.606018	0.386285	0.654064	0.184600	0.094165	0.260247	0.754915	0.665081	0.188385	0.309998	0.550550	0.639457	0.069424	0.178335	0.572029	0.770509	0.241665	0.291483	0.727799	0.286281	0.157132	0.263296	0.741511	0.084857	0.115552	0.200989	0.685834	0.191628	0.089504	0.147148	0.729297	0.980992	0.207398	0.195676	0.734394	0.487931	0.113261	0.122661	0.769162	0.634374	0.118434	0.109745	0.537026	0.404445	0.126067	0.127584	0.673810	0.711547	0.162518	0.252629	0.593179	0.260017	0.256734	0.576091	0.580710	0.644515	0.078353	0.125117	0.630538	0.112566	0.143563	0.308424	0.608973	0.221806
17	0.213906	0.169175	0.833825	0.185297	0.169576	0.262688	0.697362	0.457061	0.146443	0.180649	0.603768	0.149308	0.532324	0.321321	0.601889	0.662377	0.610993	0.433282	0.523347	0.182985	0.104155	0.334675	0.891334	0.667154	0.159825	0.278837	0.545302	0.382082	0.057686	0.197350	0.548884	0.767204	0.240613	0.249512	0.752271	0.299223	0.146099	0.281906	0.754557	0.194628	0.113519	0.199185	0.676510	0.190862	0.075726	0.121219	0.750245	0.993744	0.202145	0.217849	0.726854	0.484325	0.115314	0.121048	0.781162	0.639724	0.119689	0.087444	0.573194	0.438296	0.147754	0.132782	0.552857	0.756081	0.115099	0.179778	0.555874	0.302946	0.261161	0.550275	0.591002	0.686661	0.077598	0.120383	0.675914	0.111316	0.210578	0.332139	0.641372	0.160894
18	0.216425	0.207213	0.845806	0.190195	0.173670	0.274091	0.645046	0.462498	0.149694	0.180725	0.672424	0.146347	0.371019	0.264146	0.565693	0.663379	0.614283	0.465679	0.541495	0.183256	0.124011	0.366846	0.866807	0.669710	0.159781	0.277292	0.551350	0.339808	0.060141	0.245031	0.547317	0.770849	0.232510	0.251342	0.805878	0.431399	0.134776	0.281756	0.727397	0.333260	0.113919	0.195743	0.668564	0.185528	0.074697	0.106033	0.855767	0.998156	0.195305	0.235857	0.711906	0.433976	0.111492	0.161439	0.754884	0.658610	0.107854	0.103034	0.584026	0.445792	0.167675	0.176530	0.577877	0.768574	0.183402	0.194513	0.546869	0.315254	0.262424	0.500049	0.584276	0.688045	0.067767	0.101622	0.695158	0.134218	0.213739	0.447438	0.682608	0.147824
19	0.218003	0.216215	0.689967	0.176789	0.174584	0.273166	0.591868	0.474541	0.181084	0.184876	0.682442	0.143732	0.307871	0.258864	0.613061	0.648833	0.593143	0.443139	0.486044	0.165993	0.123433	0.354185	0.854724	0.669888	0.151391	0.328893	0.571726	0.214650	0.138064	0.226213	0.555913	0.772203	0.228041	0.260955	0.735448	0.482562	0.152465	0.334791	0.718149	0.371204	0.110330	0.164769	0.681187	0.184039	0.064628	0.114126	0.950050	0.998983	0.178943	0.235367	0.639728	0.369078	0.100230	0.217455	0.809072	0.670820	0.102681	0.112962	0.576168	0.501239	0.170079	0.176443	0.601657	0.777900	0.215286	0.209567	0.540983	0.328493	0.251454	0.468624	0.604662	0.698067	0.081161	0.099566	0.685121	0.125648	0.201248	0.470525	0.680325	0.155596
20	0.220275	0.233207	0.651339	0.159005	0.172892	0.218113	0.580736	0.478951	0.191478	0.177763	0.689341	0.141399	0.246676	0.250163	0.591568	0.642772	0.521922	0.391327	0.486950	0.117355	0.170846	0.561495	0.820134	0.668171	0.101069	0.312537	0.586912	0.222775	0.150189	0.246909	0.581359	0.771778	0.199939	0.193251	0.705503	0.459394	0.165350	0.381808	0.626898	0.374044	0.083171	0.101995	0.671896	0.179603	0.141998	0.139904	0.939348	0.983231	0.159831	0.250849	0.651977	0.369037	0.110348	0.330534	0.811816	0.670403	0.107410	0.125005	0.578402	0.548436	0.170340	0.186558	0.584268	0.854208	0.222555	0.203400	0.547203	0.327757	0.216239	0.344893	0.551688	0.726753	0.115546	0.121553	0.697152	0.129328	0.206611	0.482494	0.610109	0.157114
21	0.205475	0.235337	0.716189	0.136753	0.180328	0.219260	0.569101	0.466081	0.195689	0.181546	0.674552	0.131688	0.211604	0.239014	0.607510	0.635543	0.176256	0.311678	0.565797	0.180827	0.182129	0.584301	0.770281	0.673992	0.132599	0.424372	0.844562	0.412261	0.152761	0.274967	0.582045	0.769690	0.163193	0.184023	0.677401	0.596392	0.160651	0.376423	0.671782	0.382145	0.081465	0.095705	0.665619	0.178230	0.210207	0.161360	0.911589	0.976273	0.215408	0.293710	0.651997	0.302911	0.124119	0.359069	0.821012	0.662348	0.099222	0.126827	0.577395	0.550747	0.168708	0.186657	0.564258	0.864263	0.263233	0.263214	0.652987	0.344492	0.198616	0.225587	0.563299	0.736822	0.120928	0.122175	0.700429	0.130086	0.205873	0.484172	0.576086	0.160059
