	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_01.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_02.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_03.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_04.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_05.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_06.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_07.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_08.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_09.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d	228_C_T2_sh_ND_L_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.189066	0.294254	0.295049	0.215776	0.180637	0.205786	0.097566	0.056624	0.169129	0.335038	0.126893	0.084734	0.169039	0.183155	0.096578	0.086853	0.100890	0.214488	0.162867	0.140918	0.075803	0.197527	0.145981	0.121859	0.132391	0.375985	0.252198	0.196595	0.114350	0.307707	0.140090	0.105481	0.109621	0.445788	0.100530	0.076283	0.112611	0.261079	0.159138	0.059129	0.158361	0.500229	0.131241	0.053222	0.083949	0.353770	0.121533	0.091499	0.144255	0.239452	0.101203	0.054540	0.190085	0.385294	0.076075	0.066140	0.053710	0.250084	0.078537	0.051915	0.145979	0.344103	0.145917	0.064340	0.099405	0.298517	0.234885	0.149590	0.071819	0.301795	0.141072	0.109258	0.185381	0.385352	0.159171	0.194097	0.096035	0.401146	0.142384	0.066382
2	0.180818	0.303146	0.290515	0.224317	0.204062	0.211744	0.095962	0.049184	0.185107	0.346523	0.139251	0.089157	0.161208	0.192643	0.097887	0.098863	0.094884	0.215474	0.154197	0.126217	0.068129	0.195297	0.148501	0.121349	0.132444	0.306940	0.249919	0.198232	0.115693	0.304515	0.142285	0.115140	0.146566	0.609273	0.100873	0.086089	0.110446	0.255062	0.157721	0.059421	0.155739	0.478402	0.185688	0.065115	0.084164	0.347373	0.131800	0.095114	0.121289	0.235792	0.093988	0.058236	0.195450	0.383813	0.076058	0.060065	0.048722	0.270580	0.081021	0.062339	0.148129	0.344407	0.138292	0.074913	0.096929	0.297977	0.258884	0.148109	0.071526	0.311152	0.120385	0.120630	0.192691	0.397405	0.186302	0.214146	0.095425	0.396022	0.134105	0.083866
3	0.174573	0.320283	0.285112	0.224920	0.209019	0.213724	0.115387	0.050587	0.193697	0.350474	0.155670	0.091354	0.159780	0.208559	0.091243	0.104034	0.082499	0.213921	0.160071	0.110210	0.069834	0.199570	0.158913	0.121809	0.131620	0.279199	0.261060	0.203515	0.124173	0.306044	0.153089	0.120140	0.146793	0.658691	0.116886	0.103337	0.111273	0.235703	0.158902	0.056469	0.148072	0.472456	0.210570	0.071672	0.074249	0.294167	0.133462	0.097571	0.103473	0.243237	0.089206	0.058375	0.199353	0.372604	0.077700	0.056631	0.041606	0.297648	0.093315	0.088961	0.167458	0.334368	0.151233	0.072020	0.088788	0.280902	0.257995	0.155675	0.072290	0.311924	0.116486	0.124380	0.195928	0.397107	0.228503	0.237638	0.096081	0.396920	0.135601	0.097335
4	0.174612	0.332362	0.266915	0.219760	0.208967	0.217289	0.127341	0.059498	0.263081	0.377173	0.155657	0.104051	0.152928	0.170866	0.090129	0.106205	0.064366	0.229530	0.158474	0.114357	0.081817	0.205246	0.155766	0.124518	0.121665	0.331114	0.246818	0.222227	0.129830	0.300891	0.157914	0.126109	0.139511	0.639793	0.128031	0.115767	0.104220	0.189401	0.161051	0.054369	0.104421	0.406264	0.206607	0.073901	0.063513	0.266939	0.132542	0.099939	0.086673	0.273400	0.085821	0.056814	0.197120	0.350781	0.078815	0.050547	0.039145	0.310121	0.222949	0.241685	0.159802	0.213825	0.156001	0.073857	0.074033	0.248184	0.250374	0.175017	0.072968	0.314881	0.114602	0.124210	0.198484	0.390802	0.292302	0.271632	0.097639	0.393787	0.147892	0.101636
5	0.175945	0.335107	0.243105	0.192118	0.210365	0.259850	0.123415	0.064097	0.281589	0.368774	0.166820	0.108862	0.152426	0.172493	0.090965	0.108033	0.068697	0.241065	0.159322	0.152504	0.081458	0.207604	0.152369	0.124669	0.104480	0.310632	0.215140	0.243033	0.135394	0.301950	0.151534	0.133046	0.136018	0.592756	0.269616	0.154797	0.118707	0.173678	0.169532	0.058008	0.100080	0.369972	0.215525	0.097637	0.062547	0.260471	0.132179	0.097554	0.081399	0.316049	0.102503	0.069395	0.190143	0.280477	0.078218	0.046297	0.063973	0.316461	0.241598	0.276309	0.157293	0.195085	0.186117	0.101480	0.069983	0.223819	0.240899	0.191312	0.068080	0.311444	0.126387	0.123344	0.201312	0.449014	0.298383	0.302023	0.100838	0.375500	0.148266	0.099871
6	0.156921	0.320764	0.241311	0.177263	0.210074	0.324238	0.112492	0.069404	0.280330	0.342607	0.173253	0.114224	0.154281	0.200712	0.098558	0.105840	0.094577	0.467795	0.184023	0.212893	0.078861	0.215089	0.176353	0.122074	0.093231	0.284150	0.222310	0.245323	0.142366	0.312751	0.154228	0.168073	0.144147	0.607558	0.338038	0.176991	0.140368	0.187765	0.165735	0.065768	0.092527	0.369869	0.244488	0.124914	0.063013	0.261542	0.138158	0.110698	0.081477	0.318051	0.156608	0.128598	0.192693	0.257155	0.070283	0.055759	0.074535	0.257030	0.262103	0.279275	0.148017	0.211226	0.190074	0.156400	0.071733	0.220060	0.231055	0.202927	0.057065	0.284202	0.195913	0.121033	0.192690	0.464322	0.296337	0.306632	0.100897	0.345999	0.150992	0.100749
