	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d
7	0.102348	0.117286	0.308848	0.260148	0.112482	0.218033	0.353973	0.179436	0.079768	0.179254	0.322243	0.202017	0.185315	0.243232	0.277170	0.074685	0.200019	0.156306	0.470178	0.188469	0.161634	0.335353	0.397149	0.282971	0.063686	0.062405	0.477225	0.175548	0.413912	0.389910	0.446096	0.179698	0.108942	0.096158	0.411646	0.163815	0.175364	0.372618	0.360854	0.154629	0.070074	0.096918	0.330900	0.186380	0.130318	0.136460	0.263330	0.160363
8	0.123424	0.116025	0.291825	0.232028	0.094566	0.247567	0.333269	0.161975	0.076349	0.144650	0.477187	0.270905	0.144119	0.304423	0.266208	0.075975	0.198643	0.141607	0.450718	0.175798	0.151357	0.431128	0.444131	0.288316	0.065750	0.063031	0.466690	0.176475	0.389268	0.385636	0.529367	0.214153	0.135417	0.250624	0.430590	0.157497	0.174041	0.374861	0.365502	0.139009	0.071147	0.087183	0.359780	0.175308	0.132728	0.138502	0.287701	0.159009
9	0.135686	0.122754	0.295350	0.222552	0.099029	0.258366	0.324171	0.160724	0.065258	0.095934	0.535581	0.297465	0.109202	0.315806	0.270914	0.076880	0.175324	0.146434	0.414690	0.160867	0.154751	0.453654	0.448317	0.282632	0.067094	0.064455	0.444485	0.134642	0.390619	0.385419	0.596151	0.217772	0.155540	0.332296	0.305385	0.164247	0.174417	0.389627	0.378954	0.138376	0.071032	0.086999	0.361034	0.273407	0.144355	0.143218	0.291234	0.161543
10	0.144092	0.147327	0.293645	0.177082	0.092953	0.277884	0.295425	0.179064	0.045669	0.101370	0.535781	0.329275	0.130719	0.347741	0.312462	0.092087	0.166004	0.142272	0.402329	0.168098	0.176410	0.516517	0.482790	0.285594	0.060587	0.061161	0.299227	0.105804	0.378739	0.371185	0.620937	0.215717	0.171875	0.434295	0.285506	0.165777	0.168549	0.397822	0.375581	0.138129	0.067194	0.087219	0.378657	0.307345	0.153997	0.154080	0.280553	0.163431
11	0.130709	0.138720	0.268668	0.156763	0.100695	0.284494	0.242299	0.196897	0.057227	0.100323	0.560172	0.350343	0.140050	0.347578	0.362775	0.095064	0.155517	0.139476	0.408087	0.176167	0.175759	0.507115	0.516895	0.271524	0.055453	0.055758	0.222274	0.107943	0.319450	0.354862	0.622838	0.213411	0.165796	0.436125	0.264954	0.165220	0.168435	0.438520	0.361003	0.136890	0.067834	0.089005	0.364753	0.302384	0.151726	0.155048	0.274945	0.159063
12	0.145084	0.176704	0.271117	0.156198	0.112751	0.284279	0.234497	0.189366	0.064967	0.101202	0.662826	0.434351	0.140691	0.310003	0.381178	0.095360	0.139068	0.155154	0.390688	0.186434	0.177662	0.530768	0.526916	0.242673	0.111900	0.108006	0.226254	0.104856	0.171545	0.214563	0.622379	0.212443	0.160015	0.435480	0.263619	0.171031	0.168896	0.465176	0.359254	0.137711	0.081429	0.085488	0.317102	0.361651	0.151529	0.143483	0.274157	0.156267
13	0.141011	0.178671	0.163751	0.202645	0.113426	0.281248	0.237222	0.316651	0.077153	0.135942	0.719774	0.475238	0.157723	0.306659	0.382312	0.094900	0.116779	0.159309	0.379479	0.283675	0.175393	0.545971	0.518188	0.245318	0.174451	0.140033	0.223073	0.116873	0.112390	0.131323	0.609615	0.207097	0.155362	0.444153	0.268587	0.217025	0.170255	0.477826	0.358379	0.129136	0.065009	0.051130	0.313611	0.384452	0.147141	0.108871	0.271896	0.148447
14	0.122146	0.187004	0.150688	0.264511	0.117009	0.275060	0.430935	0.430305	0.075839	0.134497	0.716473	0.480841	0.167217	0.309517	0.383669	0.104195	0.087832	0.226426	0.468135	0.410690	0.173737	0.548083	0.518071	0.208874	0.176712	0.176164	0.214768	0.123869	0.117971	0.136264	0.551295	0.183826	0.145233	0.441514	0.272763	0.294502	0.170005	0.482280	0.342346	0.087001	0.071377	0.088922	0.293679	0.380621	0.147666	0.102378	0.269205	0.124666
15	0.133970	0.198382	0.203905	0.277709	0.119472	0.275803	0.517830	0.443090	0.076474	0.146033	0.711270	0.485411	0.195761	0.315149	0.404433	0.114145	0.087131	0.253644	0.533465	0.416495	0.161191	0.546556	0.514174	0.186423	0.176622	0.197987	0.210195	0.126304	0.117869	0.122647	0.474705	0.180075	0.098862	0.324244	0.329060	0.333724	0.133426	0.432348	0.285879	0.059200	0.071866	0.099860	0.258792	0.384236	0.141913	0.102253	0.226969	0.123110
16	0.127670	0.190527	0.211961	0.313398	0.135845	0.289861	0.526757	0.462662	0.077119	0.153636	0.720050	0.492823	0.234676	0.326487	0.403833	0.109701	0.081860	0.254016	0.551832	0.426397	0.148079	0.536100	0.488791	0.212851	0.200666	0.296784	0.211420	0.108625	0.118266	0.124402	0.460091	0.172578	0.072089	0.258127	0.369673	0.379632	0.083192	0.361861	0.214322	0.084789	0.074098	0.114090	0.246822	0.306962	0.124088	0.098317	0.237480	0.127244
