	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
7	0.291070	0.166403	0.129575	0.248291	0.395599	0.263883	0.193151	0.222004	0.216954	0.051111	0.282352	0.171435	0.254676	0.228856	0.224862	0.194576	0.462195	0.094022	0.434131	0.275379	0.625815	0.283765	0.160553	0.131328	0.420310	0.107641	0.086408	0.185913	0.795843	0.139966	0.151940	0.091692	0.208669	0.095939	0.197370	0.170012	0.434292	0.068883	0.289036	0.241794
8	0.299971	0.165392	0.143252	0.268740	0.320457	0.259820	0.182622	0.194637	0.206791	0.054050	0.293808	0.195395	0.235335	0.228623	0.222664	0.273686	0.387855	0.101752	0.466560	0.280588	0.563308	0.262549	0.233529	0.165936	0.423888	0.091675	0.131715	0.229058	0.737516	0.141215	0.155151	0.096215	0.212542	0.081288	0.198503	0.156455	0.399683	0.066564	0.290243	0.234727
9	0.297597	0.162712	0.203418	0.281001	0.277959	0.269976	0.163310	0.134555	0.200521	0.064506	0.295528	0.270469	0.226367	0.229618	0.231973	0.312839	0.338991	0.103108	0.475502	0.260452	0.405465	0.196319	0.300813	0.166847	0.252878	0.073407	0.160907	0.254718	0.695665	0.178675	0.186855	0.101804	0.215550	0.042720	0.199466	0.152817	0.375791	0.067051	0.285624	0.216567
10	0.297103	0.155637	0.289901	0.289059	0.236522	0.262094	0.174274	0.149189	0.190177	0.095807	0.349439	0.430335	0.222118	0.230737	0.252346	0.310296	0.347787	0.103839	0.458833	0.272701	0.321702	0.183963	0.341453	0.170568	0.174130	0.026978	0.180105	0.335466	0.679789	0.188547	0.269005	0.129919	0.190370	0.041733	0.197475	0.166602	0.352824	0.085035	0.251607	0.205071
11	0.307274	0.145134	0.385288	0.312298	0.237390	0.241631	0.194018	0.191541	0.218913	0.117231	0.405291	0.450626	0.158152	0.143797	0.252294	0.309323	0.359790	0.100973	0.424828	0.333648	0.315596	0.183706	0.356534	0.168577	0.181035	0.028217	0.264641	0.471884	0.677376	0.190194	0.359892	0.153372	0.179807	0.041386	0.183469	0.173088	0.326806	0.123014	0.202172	0.187403
12	0.294759	0.139670	0.441785	0.316492	0.238337	0.245098	0.202789	0.195350	0.222783	0.163979	0.450619	0.468580	0.153420	0.146132	0.257180	0.331895	0.412620	0.101586	0.420546	0.363812	0.312450	0.171326	0.356336	0.184208	0.190206	0.028634	0.351866	0.514498	0.635650	0.188429	0.428614	0.169184	0.157370	0.039329	0.200038	0.180047	0.304439	0.132135	0.159632	0.228402
13	0.252203	0.110949	0.452465	0.318871	0.228827	0.247048	0.198139	0.213571	0.218950	0.167815	0.462614	0.528411	0.142987	0.167594	0.255560	0.359343	0.430624	0.105747	0.470811	0.403963	0.313473	0.162013	0.374682	0.193485	0.197259	0.030652	0.441247	0.506489	0.390287	0.185697	0.455687	0.169713	0.146548	0.038032	0.239524	0.252670	0.221665	0.142839	0.196301	0.289671
14	0.233228	0.066954	0.453023	0.318114	0.234704	0.247572	0.202570	0.230158	0.194521	0.167645	0.464607	0.612704	0.152169	0.183379	0.233551	0.347046	0.442381	0.108627	0.497181	0.439785	0.246026	0.172337	0.410931	0.198691	0.196019	0.032880	0.483019	0.515765	0.207043	0.182790	0.463684	0.191345	0.133102	0.036183	0.252063	0.259465	0.210222	0.144508	0.269441	0.301349
15	0.245409	0.062542	0.459314	0.315185	0.234975	0.246809	0.384071	0.262957	0.217734	0.167866	0.568740	0.690771	0.158837	0.183460	0.208021	0.341861	0.425215	0.106488	0.503686	0.438230	0.222701	0.177020	0.442606	0.205550	0.196664	0.031261	0.509930	0.561439	0.171852	0.174460	0.542587	0.245807	0.138508	0.035676	0.274289	0.294279	0.215786	0.148223	0.322954	0.305100
16	0.263507	0.050813	0.459408	0.339100	0.207607	0.213959	0.466558	0.281465	0.242587	0.171084	0.678055	0.713643	0.159719	0.183996	0.210680	0.341746	0.418296	0.104696	0.501627	0.424583	0.238027	0.177072	0.463548	0.205300	0.203066	0.029821	0.663121	0.621798	0.193457	0.166549	0.650965	0.297475	0.140986	0.037287	0.282935	0.350641	0.212241	0.150842	0.337845	0.341781
