	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d
7	0.150768	0.232137	0.190024	0.190049	0.371559	0.575600	0.363872	0.336662	0.159973	0.220460	0.340668	0.230470	0.256264	0.733241	0.491430	0.247882	0.063909	0.058000	0.343646	0.258360	0.242518	0.510314	0.409453	0.493259	0.095990	0.267676	0.240682	0.214249	0.086406	0.231912	0.278599	0.497472	0.170624	0.322714	0.399135	0.288343	0.105564	0.224735	0.228829	0.326536	0.365934	0.629461	0.183417	0.137456	0.258310	0.078756	0.546346	0.469804
8	0.152692	0.226385	0.399205	0.227730	0.372600	0.575973	0.354217	0.434598	0.230317	0.214304	0.343283	0.233419	0.257008	0.733861	0.460130	0.241547	0.068027	0.062663	0.319747	0.261377	0.233341	0.510120	0.345026	0.456932	0.098323	0.266721	0.290267	0.207179	0.087419	0.229814	0.270597	0.539137	0.171057	0.321027	0.398290	0.201884	0.100182	0.194865	0.250227	0.276816	0.409787	0.650850	0.277152	0.146435	0.260710	0.078263	0.522413	0.462892
9	0.176952	0.239623	0.416347	0.275133	0.372455	0.574990	0.354078	0.494838	0.252654	0.222607	0.322980	0.240488	0.256147	0.737390	0.465669	0.262686	0.093689	0.090213	0.328517	0.263734	0.217188	0.505509	0.267585	0.408023	0.098191	0.263010	0.329335	0.234024	0.086854	0.226990	0.260553	0.553025	0.167434	0.314278	0.390006	0.188062	0.102221	0.186765	0.240076	0.249168	0.421156	0.648900	0.346315	0.195563	0.265039	0.077019	0.460005	0.460387
10	0.199903	0.236904	0.414690	0.290211	0.369983	0.560018	0.369943	0.474888	0.254175	0.243072	0.314699	0.234346	0.258146	0.734337	0.465463	0.256957	0.107066	0.106707	0.336201	0.266575	0.195398	0.418004	0.263611	0.408813	0.132662	0.316198	0.358056	0.216982	0.083147	0.215763	0.323096	0.483773	0.156619	0.282567	0.410360	0.140397	0.107387	0.180451	0.208142	0.248919	0.427944	0.639182	0.362039	0.201691	0.256879	0.077529	0.358400	0.459862
11	0.212371	0.250060	0.428133	0.308816	0.361222	0.544162	0.338084	0.458823	0.258418	0.242440	0.359169	0.248736	0.259800	0.695092	0.469545	0.243707	0.107337	0.108912	0.338374	0.266587	0.179853	0.340804	0.258046	0.405857	0.158547	0.345356	0.361461	0.222860	0.080682	0.212031	0.353469	0.477242	0.159378	0.262971	0.472791	0.135123	0.108392	0.178568	0.199423	0.247317	0.427760	0.622587	0.379247	0.202578	0.250048	0.078262	0.333282	0.458760
12	0.243394	0.258665	0.515785	0.322643	0.321591	0.506413	0.285491	0.466721	0.262219	0.256517	0.363634	0.243686	0.264025	0.697947	0.468862	0.236090	0.115415	0.120187	0.331941	0.246723	0.180651	0.341641	0.247031	0.404081	0.162825	0.345969	0.362082	0.224698	0.080189	0.215687	0.351155	0.495354	0.171766	0.254502	0.540776	0.139016	0.110699	0.158981	0.198479	0.244679	0.419734	0.621466	0.374212	0.199289	0.249414	0.077571	0.336955	0.449846
13	0.252331	0.252334	0.536966	0.323531	0.283660	0.484306	0.266679	0.458859	0.262573	0.282902	0.382469	0.199913	0.253089	0.576901	0.436500	0.213915	0.136210	0.120793	0.302271	0.232827	0.186734	0.325890	0.248325	0.378291	0.164371	0.340135	0.357897	0.223052	0.069944	0.195756	0.336999	0.529263	0.167232	0.238886	0.552329	0.158824	0.117496	0.131225	0.200497	0.244817	0.382848	0.521672	0.406837	0.202574	0.240085	0.071404	0.307466	0.443870
14	0.253193	0.245566	0.537313	0.322594	0.283930	0.414829	0.278272	0.422745	0.265358	0.379375	0.389429	0.173664	0.226529	0.461496	0.426834	0.241795	0.145810	0.156415	0.248994	0.263151	0.197465	0.267508	0.250235	0.359588	0.172227	0.355313	0.377591	0.219091	0.069784	0.200257	0.327600	0.553269	0.137777	0.170611	0.552478	0.176948	0.122700	0.123720	0.200477	0.235135	0.372554	0.485726	0.439291	0.210530	0.223422	0.069209	0.224352	0.451795
15	0.249031	0.240347	0.529730	0.323317	0.244303	0.227661	0.296181	0.429015	0.280486	0.469096	0.403276	0.170534	0.213122	0.399184	0.369392	0.251274	0.148221	0.240215	0.208943	0.272551	0.205703	0.185285	0.238965	0.354195	0.200252	0.397767	0.367958	0.232829	0.087110	0.220440	0.340440	0.563610	0.140563	0.209906	0.552046	0.177499	0.135696	0.106341	0.199213	0.219317	0.371065	0.475381	0.450126	0.228546	0.204196	0.067087	0.168132	0.443220
16	0.235344	0.215829	0.484093	0.257454	0.205818	0.152320	0.293128	0.435919	0.283010	0.516809	0.372793	0.170494	0.213554	0.399857	0.345640	0.261356	0.178741	0.241686	0.190648	0.270474	0.216283	0.125233	0.213175	0.305595	0.291374	0.502077	0.373794	0.262485	0.104409	0.209866	0.357385	0.563309	0.200676	0.308812	0.551234	0.161175	0.145129	0.079961	0.195617	0.204341	0.343174	0.388333	0.451346	0.249284	0.175810	0.058879	0.167920	0.422415
17	0.219651	0.195569	0.366602	0.219872	0.190877	0.132972	0.293275	0.442406	0.283385	0.531960	0.339466	0.177614	0.181038	0.353236	0.345625	0.246657	0.252984	0.244686	0.114598	0.270278	0.225481	0.122091	0.219352	0.230154	0.319530	0.516611	0.352739	0.265015	0.110888	0.211578	0.375463	0.563288	0.228262	0.358883	0.539788	0.165434	0.149060	0.071517	0.193644	0.140114	0.270699	0.296311	0.426572	0.268137	0.153263	0.056271	0.164247	0.422876
18	0.191476	0.174781	0.361791	0.190355	0.166048	0.147019	0.281657	0.451057	0.236168	0.531591	0.343469	0.176185	0.170840	0.299817	0.329146	0.239639	0.260921	0.241142	0.156675	0.270659	0.227731	0.142098	0.220557	0.233312	0.320759	0.534724	0.282957	0.253569	0.111237	0.218299	0.376207	0.551555	0.231468	0.368080	0.474784	0.171260	0.149228	0.071834	0.181698	0.124448	0.240219	0.322502	0.324866	0.243060	0.148081	0.055714	0.163593	0.410778
19	0.179868	0.188691	0.362551	0.161845	0.150423	0.191400	0.284644	0.446337	0.202927	0.536041	0.352287	0.160573	0.174383	0.260717	0.309344	0.230502	0.262061	0.248018	0.167801	0.270882	0.222985	0.158321	0.219819	0.232621	0.341158	0.518018	0.235818	0.252413	0.116165	0.234775	0.377276	0.502243	0.235914	0.373546	0.434966	0.178550	0.150999	0.083838	0.170727	0.106127	0.239139	0.392343	0.311809	0.228254	0.141812	0.054120	0.170103	0.398244
20	0.153985	0.163603	0.349285	0.125213	0.166737	0.212302	0.279560	0.320248	0.205288	0.562341	0.341257	0.159564	0.176607	0.228443	0.271085	0.221415	0.277634	0.245493	0.177900	0.267796	0.214334	0.186338	0.217612	0.233282	0.329995	0.507931	0.240806	0.245252	0.125870	0.241288	0.379562	0.465270	0.237826	0.382666	0.428119	0.188002	0.165889	0.123391	0.116077	0.110888	0.239378	0.407939	0.276097	0.241657	0.139317	0.053511	0.182926	0.396859
21	0.129177	0.146907	0.232907	0.122416	0.187139	0.213730	0.255874	0.263753	0.205503	0.576650	0.292022	0.131960	0.173790	0.315616	0.255099	0.198562	0.296323	0.262989	0.224784	0.202570	0.213529	0.186651	0.217961	0.214560	0.328879	0.510913	0.244442	0.240212	0.143280	0.263806	0.382178	0.447407	0.242913	0.384596	0.428166	0.189530	0.170216	0.131589	0.084247	0.099820	0.230059	0.366051	0.270236	0.290304	0.153718	0.054621	0.195636	0.347504
22	0.130341	0.259758	0.254176	0.120122	0.192145	0.218833	0.230531	0.255688	0.210525	0.612779	0.280748	0.148720	0.190033	0.552665	0.254086	0.201070	0.294898	0.242866	0.293786	0.160529	0.208981	0.187716	0.218154	0.224600	0.331646	0.512734	0.256071	0.230753	0.162450	0.317561	0.326470	0.434625	0.242175	0.400130	0.409384	0.185088	0.171943	0.132223	0.098951	0.081436	0.209106	0.353508	0.302966	0.359065	0.169146	0.055305	0.204874	0.221727
23	0.141545	0.359351	0.285616	0.118551	0.204246	0.214232	0.230138	0.232895	0.211535	0.604738	0.257177	0.153805	0.204014	0.613988	0.207859	0.201832	0.298678	0.205419	0.444727	0.115321	0.199101	0.189365	0.191898	0.233603	0.336945	0.494518	0.225747	0.221950	0.179993	0.372389	0.268013	0.425291	0.238863	0.408779	0.339804	0.180141	0.167453	0.138752	0.112627	0.079377	0.164283	0.331995	0.262952	0.380551	0.182161	0.055089	0.206823	0.204180
24	0.168561	0.413072	0.272805	0.109708	0.218828	0.230879	0.225849	0.219570	0.229220	0.602272	0.251479	0.155385	0.196115	0.631510	0.103943	0.190786	0.284191	0.214804	0.473198	0.115143	0.196321	0.207091	0.172119	0.236196	0.345046	0.471190	0.212361	0.204481	0.182008	0.381435	0.265542	0.375452	0.231745	0.419236	0.189443	0.176366	0.167052	0.139222	0.119959	0.083013	0.188715	0.322085	0.243904	0.388771	0.181165	0.056871	0.189325	0.203631
25	0.194238	0.483254	0.278369	0.108131	0.229284	0.244332	0.224391	0.214293	0.229487	0.509887	0.216705	0.160150	0.226885	0.741671	0.066272	0.183809	0.214721	0.201739	0.479184	0.122790	0.201977	0.244812	0.172810	0.232612	0.291180	0.374099	0.210518	0.176047	0.190399	0.381430	0.252068	0.312982	0.233499	0.419871	0.140716	0.165713	0.166792	0.190346	0.127699	0.084149	0.200946	0.321319	0.247269	0.389548	0.169008	0.060112	0.171631	0.203630
26	0.196632	0.496953	0.299486	0.124290	0.227452	0.247028	0.216239	0.202667	0.244252	0.482420	0.197328	0.162480	0.236125	0.775343	0.105450	0.134030	0.213014	0.199912	0.475833	0.164865	0.199836	0.264944	0.170254	0.234653	0.245983	0.349412	0.214451	0.180428	0.254031	0.393399	0.248584	0.245253	0.238093	0.422564	0.171315	0.153914	0.161110	0.218275	0.124407	0.079870	0.193875	0.318082	0.248223	0.374035	0.163805	0.062003	0.169151	0.200680
27	0.198264	0.497932	0.320338	0.135472	0.266850	0.268322	0.214259	0.183274	0.260920	0.438463	0.200719	0.159279	0.237396	0.773131	0.108754	0.124858	0.212337	0.190510	0.503549	0.213374	0.219334	0.442568	0.168350	0.229311	0.252029	0.307447	0.209652	0.154932	0.344196	0.404865	0.228961	0.199702	0.232868	0.401371	0.188269	0.164722	0.156357	0.221823	0.125540	0.079894	0.201826	0.309150	0.249445	0.371345	0.163066	0.061077	0.160592	0.192051
28	0.197644	0.490109	0.318016	0.159946	0.378112	0.327574	0.202967	0.166674	0.261490	0.442183	0.204403	0.171062	0.242760	0.770286	0.106381	0.105315	0.199281	0.191914	0.506181	0.219533	0.242012	0.522762	0.145104	0.236417	0.223157	0.292764	0.210129	0.141939	0.376564	0.403769	0.207097	0.197569	0.203668	0.335796	0.182654	0.176458	0.148832	0.241496	0.125346	0.108207	0.208238	0.218448	0.251070	0.378385	0.166524	0.061010	0.151939	0.174171
29	0.196722	0.488535	0.280211	0.154779	0.479760	0.347069	0.185633	0.154368	0.270263	0.438058	0.201981	0.187077	0.244932	0.770383	0.118643	0.098942	0.160948	0.167858	0.487085	0.219224	0.231852	0.525438	0.141678	0.250104	0.206953	0.264179	0.198098	0.156312	0.376700	0.407550	0.168084	0.198878	0.208750	0.277420	0.214537	0.182745	0.140163	0.247123	0.125471	0.108977	0.204940	0.121365	0.264681	0.384663	0.178828	0.058698	0.167398	0.138611
