	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_02.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_03.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_04.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_06.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_07.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d	143_P_T1_sh_R_D_A_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.283390	0.199374	0.117984	0.130177	0.168687	0.095766	0.165542	0.057114	0.073220	0.052046	0.155929	0.155970	0.118801	0.049805	0.154803	0.106706	0.116653	0.063051	0.133121	0.154556	0.125030	0.063228	0.093754	0.120493	0.226258	0.318225	0.038888	0.112839	0.084173	0.058958	0.096758	0.105496	0.180108	0.062648	0.211022	0.215278	0.281766	0.098924	0.102588	0.067695	0.100857	0.333946	0.145197	0.098086	0.051623	0.041153	0.122192	0.060217
2	0.364944	0.218570	0.121831	0.126819	0.132881	0.078069	0.167108	0.053898	0.082121	0.049584	0.165147	0.123487	0.072963	0.030616	0.157245	0.096691	0.114596	0.065544	0.143273	0.151936	0.103418	0.060457	0.089722	0.118726	0.282983	0.413204	0.039747	0.113043	0.061113	0.060278	0.107564	0.101680	0.174815	0.062105	0.259308	0.230048	0.261275	0.091562	0.120950	0.053985	0.106174	0.341227	0.129316	0.072393	0.047959	0.041092	0.118564	0.068776
3	0.442239	0.240033	0.117276	0.125201	0.099275	0.070122	0.169005	0.094928	0.080554	0.049111	0.186505	0.101053	0.072668	0.025696	0.162784	0.089827	0.112769	0.066871	0.143379	0.186303	0.082852	0.058597	0.085744	0.122602	0.274053	0.428681	0.046077	0.102568	0.035053	0.097637	0.107162	0.102685	0.092417	0.060496	0.289596	0.235071	0.250654	0.087133	0.128993	0.047836	0.108214	0.333304	0.089670	0.067718	0.045300	0.040227	0.140008	0.079702
4	0.443645	0.241668	0.099462	0.129409	0.091110	0.069586	0.151869	0.123072	0.076805	0.048714	0.217296	0.111146	0.069016	0.026127	0.175376	0.093026	0.112014	0.070159	0.135225	0.205742	0.080889	0.049362	0.083055	0.130111	0.269148	0.431426	0.051418	0.085355	0.025669	0.118977	0.107241	0.103130	0.044284	0.061466	0.299704	0.261166	0.244145	0.086027	0.127272	0.049491	0.108408	0.310597	0.086101	0.066582	0.045540	0.044275	0.148879	0.090920
5	0.443711	0.241697	0.096359	0.125755	0.085928	0.069782	0.122884	0.125977	0.085940	0.048961	0.231874	0.111583	0.052453	0.023717	0.192296	0.090289	0.119860	0.080607	0.122746	0.194535	0.077780	0.038235	0.080725	0.124210	0.264831	0.422545	0.053622	0.113332	0.025617	0.123647	0.114295	0.104225	0.047108	0.062762	0.295292	0.278679	0.233560	0.081253	0.126556	0.050805	0.118821	0.328113	0.094984	0.068599	0.045132	0.049375	0.154892	0.095306
6	0.443677	0.237384	0.109243	0.101221	0.076302	0.068868	0.114998	0.136805	0.101698	0.048998	0.232735	0.110305	0.052217	0.020160	0.206909	0.091752	0.131119	0.084448	0.093139	0.194118	0.071066	0.030691	0.077970	0.121813	0.239906	0.370077	0.111979	0.268888	0.029203	0.135742	0.141715	0.085150	0.048141	0.067557	0.292189	0.281451	0.231638	0.078588	0.125721	0.050505	0.139725	0.323246	0.102868	0.118055	0.044259	0.050984	0.155655	0.098596
7	0.413298	0.204095	0.108833	0.100848	0.066931	0.067644	0.114601	0.165302	0.101616	0.047945	0.233625	0.118409	0.047594	0.019444	0.207952	0.091765	0.114336	0.079943	0.095374	0.196378	0.064100	0.029131	0.081984	0.129595	0.237991	0.335968	0.174475	0.278956	0.049778	0.141915	0.172456	0.077336	0.044331	0.077018	0.292320	0.280791	0.230336	0.076683	0.125905	0.054515	0.291933	0.316909	0.106450	0.137295	0.039765	0.051715	0.144949	0.097077
