	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
7	0.493390	0.566305	0.201890	0.492805	0.209854	0.291916	0.226414	0.495186	0.509545	0.464188	0.479160	0.407795	0.332978	0.376882	0.189844	0.264434	0.495779	0.369140	0.270202	0.184863	0.287693	0.318290	0.087157	0.191591	0.472430	0.406421	0.078750	0.181493	0.345438	0.360841	0.253124	0.315440	0.393524	0.255492	0.271478	0.265365	0.129165	0.127978	0.186513	0.294042
8	0.420735	0.434486	0.206721	0.559020	0.210790	0.291062	0.228405	0.584955	0.494857	0.443778	0.619515	0.415510	0.363283	0.460358	0.136980	0.279113	0.491689	0.402160	0.290264	0.187578	0.292603	0.328105	0.090472	0.193877	0.458079	0.360787	0.079411	0.177062	0.343206	0.355277	0.228888	0.318334	0.421873	0.289293	0.262683	0.431035	0.126429	0.128205	0.161529	0.303696
9	0.429759	0.543175	0.322371	0.558581	0.233503	0.283377	0.231209	0.720874	0.509338	0.515992	0.632611	0.414396	0.381899	0.480061	0.104466	0.272729	0.457217	0.471321	0.301580	0.189324	0.288024	0.328676	0.104311	0.236573	0.454504	0.408888	0.090539	0.173185	0.323465	0.341397	0.229723	0.313125	0.540378	0.418017	0.262970	0.435171	0.125267	0.124702	0.160078	0.325207
10	0.436089	0.565623	0.378419	0.537641	0.261121	0.283071	0.235443	0.730543	0.529923	0.599438	0.620662	0.406490	0.389996	0.491682	0.135744	0.342008	0.554896	0.647174	0.345183	0.220338	0.290950	0.312007	0.203134	0.435712	0.473851	0.456350	0.129725	0.163385	0.295011	0.307217	0.230945	0.289633	0.544680	0.397181	0.267157	0.459773	0.122493	0.119179	0.207239	0.330274
11	0.423339	0.563081	0.380876	0.517331	0.266720	0.282593	0.237233	0.742937	0.543844	0.615967	0.568163	0.405576	0.390026	0.484738	0.157752	0.335031	0.633226	0.701688	0.349652	0.466024	0.230760	0.268166	0.248668	0.464657	0.574062	0.509049	0.133688	0.156042	0.279071	0.275438	0.219293	0.293999	0.544842	0.387712	0.273996	0.468313	0.118833	0.110844	0.235541	0.319590
12	0.399703	0.542858	0.384902	0.503995	0.265109	0.280689	0.230168	0.747750	0.457073	0.565804	0.513876	0.350420	0.401774	0.502152	0.161416	0.341333	0.657516	0.704816	0.327708	0.547474	0.109687	0.242516	0.257701	0.530406	0.585650	0.507242	0.144300	0.155767	0.270015	0.257670	0.213835	0.308583	0.549455	0.397933	0.264056	0.469264	0.128711	0.114023	0.252228	0.341827
13	0.364144	0.494391	0.378101	0.425843	0.316751	0.292352	0.236954	0.791751	0.339221	0.487783	0.503668	0.289539	0.410286	0.515620	0.191098	0.370160	0.663410	0.708152	0.301815	0.549313	0.110890	0.243192	0.259123	0.578577	0.583601	0.506746	0.157259	0.145974	0.267973	0.247276	0.193016	0.252231	0.554382	0.416657	0.278679	0.473353	0.109623	0.141290	0.252636	0.371765
14	0.341838	0.435853	0.368050	0.325295	0.324353	0.293480	0.233605	0.792011	0.330106	0.479723	0.320884	0.148308	0.385498	0.497900	0.191325	0.378006	0.663416	0.714523	0.295343	0.546309	0.143691	0.259999	0.259848	0.575135	0.573274	0.502629	0.183859	0.177722	0.230165	0.234438	0.176420	0.212342	0.552767	0.422911	0.303111	0.471542	0.124104	0.165245	0.252855	0.360977
15	0.298982	0.431820	0.361795	0.154044	0.322971	0.286875	0.229643	0.829773	0.314953	0.469727	0.129981	0.151603	0.386399	0.495097	0.190086	0.363230	0.662773	0.711378	0.359493	0.541824	0.182771	0.292935	0.281257	0.576109	0.570381	0.499601	0.209132	0.211411	0.164966	0.195974	0.170346	0.215049	0.548662	0.423453	0.312362	0.461290	0.128520	0.171665	0.254340	0.363800
16	0.180984	0.232339	0.249612	0.101860	0.315649	0.266235	0.244938	0.909812	0.243698	0.299022	0.135673	0.167244	0.373079	0.491472	0.197843	0.377421	0.646755	0.692539	0.411605	0.546312	0.205764	0.310896	0.299902	0.571092	0.545204	0.482414	0.244124	0.219538	0.131246	0.151839	0.171263	0.219049	0.489919	0.415532	0.290664	0.448059	0.146545	0.185226	0.231574	0.353220
