	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_02.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_03.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_07.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_08.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d	107_F_P_sh_L_ND_A_09.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
7	0.127357	0.146135	0.139342	0.055619	0.200157	0.303739	0.260093	0.130050	0.099538	0.182191	0.075988	0.045329	0.180437	0.254987	0.272565	0.137736	0.248134	0.355552	0.123703	0.058055	0.333133	0.010349	0.123422	0.095229	0.154102	0.274803	0.111789	0.067791	0.372249	0.477626	0.137674	0.052661	0.265724	0.673329	0.130306	0.075598	0.302656	0.301013	0.126870	0.079554
8	0.121772	0.155315	0.154985	0.063978	0.200221	0.300900	0.278229	0.141088	0.092011	0.198197	0.093587	0.056938	0.174136	0.325859	0.259246	0.130267	0.301157	0.442897	0.114623	0.059693	0.246170	0.010530	0.116119	0.083674	0.141203	0.262872	0.109875	0.068145	0.430980	0.503726	0.140183	0.057315	0.242421	0.685671	0.123329	0.075375	0.319471	0.349309	0.115351	0.076383
9	0.149490	0.161997	0.156175	0.067862	0.235668	0.277181	0.289924	0.146910	0.097646	0.193455	0.103627	0.068571	0.175157	0.335576	0.250896	0.129342	0.358053	0.482003	0.117606	0.060334	0.235616	0.030187	0.115920	0.078644	0.144366	0.259573	0.098882	0.068078	0.454384	0.494075	0.138327	0.057886	0.237500	0.661141	0.122167	0.075450	0.280564	0.557983	0.107795	0.059110
10	0.179542	0.239454	0.155608	0.067863	0.241647	0.272467	0.292498	0.149422	0.114597	0.183058	0.107983	0.076213	0.180758	0.332814	0.273399	0.146973	0.428768	0.593311	0.126389	0.062369	0.236629	0.057346	0.119529	0.085736	0.157399	0.261827	0.094436	0.064896	0.449446	0.478293	0.138129	0.065950	0.242764	0.622811	0.124362	0.067692	0.274944	0.651291	0.103486	0.059776
11	0.169316	0.307232	0.156625	0.068074	0.239556	0.271987	0.291902	0.147799	0.123887	0.189272	0.110785	0.078942	0.214847	0.338395	0.256782	0.146200	0.455929	0.724487	0.131793	0.087851	0.224187	0.115483	0.135624	0.093734	0.151470	0.243352	0.100305	0.054913	0.434836	0.411623	0.143602	0.070718	0.264017	0.609403	0.150397	0.078965	0.246657	0.712937	0.112560	0.065502
12	0.159998	0.313545	0.156516	0.066565	0.208355	0.241274	0.276236	0.139092	0.123711	0.194570	0.121071	0.079599	0.230049	0.355891	0.232058	0.137933	0.465306	0.734327	0.121096	0.096551	0.196701	0.122147	0.144065	0.098779	0.146957	0.248374	0.108408	0.051663	0.451551	0.429951	0.153092	0.073090	0.190169	0.521115	0.197798	0.097222	0.274050	0.740824	0.116179	0.068698
13	0.171854	0.375422	0.155530	0.065288	0.211188	0.206948	0.257089	0.129413	0.123612	0.190172	0.146385	0.082522	0.235967	0.360004	0.224138	0.133693	0.478007	0.753096	0.119201	0.099847	0.229572	0.125032	0.147951	0.094891	0.147072	0.239157	0.105078	0.051852	0.459381	0.444481	0.138615	0.071425	0.205612	0.475565	0.263377	0.138712	0.287729	0.748697	0.122217	0.069148
14	0.174362	0.379199	0.136229	0.058580	0.226759	0.201440	0.241045	0.117757	0.140015	0.185202	0.166362	0.093718	0.243272	0.356055	0.208036	0.125594	0.476890	0.752174	0.114935	0.100708	0.224118	0.140589	0.152250	0.094128	0.178616	0.347082	0.088442	0.051568	0.425865	0.456740	0.139596	0.073559	0.268113	0.487761	0.265995	0.149548	0.283426	0.743958	0.138339	0.076647
15	0.174079	0.381071	0.132914	0.055292	0.229400	0.157657	0.239678	0.116916	0.227991	0.206191	0.190717	0.112225	0.247021	0.325732	0.190976	0.115593	0.458942	0.715748	0.118038	0.095060	0.208622	0.203898	0.164615	0.100184	0.233294	0.350204	0.084363	0.063973	0.429185	0.390861	0.183008	0.091083	0.268814	0.496578	0.268036	0.147386	0.315527	0.787402	0.139088	0.080202
16	0.173744	0.384992	0.129480	0.051569	0.232826	0.166216	0.184462	0.096004	0.289461	0.254235	0.190393	0.116641	0.260037	0.320291	0.177463	0.100683	0.415195	0.669181	0.127615	0.097224	0.197718	0.216672	0.207944	0.129133	0.250801	0.349963	0.141071	0.081998	0.470410	0.379036	0.193818	0.103328	0.389327	0.533961	0.317142	0.170058	0.326951	0.825998	0.144458	0.079339
